Collective	Pathway	KO	Abbrev.	Gene_description
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K13954	yiaY	 alcohol dehydrogenase [EC:1.1.1.1]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00001	E1.1.1.1, adh	 alcohol dehydrogenase [EC:1.1.1.1]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00002	AKR1A1, adh	 alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K12957	ahr	 alcohol/geraniol dehydrogenase (NADP+) [EC:1.1.1.2 1.1.1.183]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K13979	yahK	 alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K14028	mdh1, mxaF	 methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K14029	mdh2, mxaI	 methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00114	exaA	 alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K04022	eutG	 alcohol dehydrogenase
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K22473	adhA	 alcohol dehydrogenase (quinone), dehydrogenase subunit [EC:1.1.5.5]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K22474	adhB	 alcohol dehydrogenase (quinone), cytochrome c subunit [EC:1.1.5.5]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00138	aldB	 aldehyde dehydrogenase [EC:1.2.1.-]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01895	ACSS1_2, acs	 acetyl-CoA synthetase [EC:6.2.1.1]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01905	acdA	 acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K22224	acdB	 acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K24012	acdAB	 acetate---CoA ligase (ADP-forming) [EC:6.2.1.13]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01785	galM, GALM	 aldose 1-epimerase [EC:5.1.3.3]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01085	agp	 glucose-1-phosphatase [EC:3.1.3.10]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K20866	yihX	 glucose-1-phosphatase [EC:3.1.3.10]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01835	pgm	 phosphoglucomutase [EC:5.4.2.2]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K15778	pmm-pgm	 phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00886	ppgK	 polyphosphate glucokinase [EC:2.7.1.63]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K11389	gapor	 glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00131	gapN	 glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K18978	gapN	 glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01596	E4.1.1.32, pckA, PCK	 phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01610	E4.1.1.49, pckA	 phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01222	E3.2.1.86A, celF	 6-phospho-beta-glucosidase [EC:3.2.1.86]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01223	E3.2.1.86B, bglA	 6-phospho-beta-glucosidase [EC:3.2.1.86]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K02777	crr	 sugar PTS system EIIA component [EC:2.7.1.-]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K02779	ptsG	 glucose PTS system EIICB or EIICBA component [EC:2.7.1.199]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K02791	malX	 maltose/glucose PTS system EIICB component [EC:2.7.1.199 2.7.1.208]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K20118	ptsG, glcA, glcB	 glucose PTS system EIICBA or EIICB component [EC:2.7.1.199]
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K02753	ascF	 beta-glucoside (arbutin/salicin/cellobiose) PTS system EIICB component [EC:2.7.1.-]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K01647	CS, gltA	 citrate synthase [EC:2.3.3.1]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K15230	aclA	 ATP-citrate lyase alpha-subunit [EC:2.3.3.8]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K15231	aclB	 ATP-citrate lyase beta-subunit [EC:2.3.3.8]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K01681	ACO, acnA	 aconitate hydratase [EC:4.2.1.3]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K01682	acnB	 aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00031	IDH1, IDH2, icd	 isocitrate dehydrogenase [EC:1.1.1.42]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00164	OGDH, sucA	 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00658	DLST, sucB	 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K01616	kgd	 multifunctional 2-oxoglutarate metabolism enzyme [EC:2.2.1.5 4.1.1.71 1.2.4.2 2.3.1.61]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00382	DLD, lpd, pdhD	 dihydrolipoamide dehydrogenase [EC:1.8.1.4]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00174	korA, oorA, oforA	 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00175	korB, oorB, oforB	 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00177	korC, oorC	 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00176	korD, oorD	 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K01902	sucD	 succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K01903	sucC	 succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K18118	aarC, cat1	 succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00239	sdhA, frdA	 succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00240	sdhB, frdB	 succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00241	sdhC, frdC	 succinate dehydrogenase / fumarate reductase, cytochrome b subunit
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00242	sdhD, frdD	 succinate dehydrogenase / fumarate reductase, membrane anchor subunit
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K18859	sdhD, frdD	 succinate dehydrogenase / fumarate reductase, subunit D
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K18860	sdhD, frdD	 putative succinate dehydrogenase / fumarate reductase, subunit D
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00244	frdA	 fumarate reductase flavoprotein subunit [EC:1.3.5.4]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00245	frdB	 fumarate reductase iron-sulfur subunit [EC:1.3.5.4]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00246	frdC	 fumarate reductase subunit C
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00247	frdD	 fumarate reductase subunit D
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K01676	E4.2.1.2A, fumA, fumB	 fumarate hydratase, class I [EC:4.2.1.2]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K01677	E4.2.1.2AA, fumA	 fumarate hydratase subunit alpha [EC:4.2.1.2]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K01678	E4.2.1.2AB, fumB	 fumarate hydratase subunit beta [EC:4.2.1.2]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K01679	E4.2.1.2B, fumC, FH	 fumarate hydratase, class II [EC:4.2.1.2]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K01675	fumD	 fumarate hydratase D [EC:4.2.1.2]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K01774	fumE	 fumarate hydratase E [EC:4.2.1.2]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00024	mdh	 malate dehydrogenase [EC:1.1.1.37]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00116	mqo	 malate dehydrogenase (quinone) [EC:1.1.5.4]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K01958	PC, pyc	 pyruvate carboxylase [EC:6.4.1.1]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K01959	pycA	 pyruvate carboxylase subunit A [EC:6.4.1.1]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K01960	pycB	 pyruvate carboxylase subunit B [EC:6.4.1.1]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K01610	E4.1.1.49, pckA	 phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K01596	E4.1.1.32, pckA, PCK	 phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00163	aceE	 pyruvate dehydrogenase E1 component [EC:1.2.4.1]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00161	PDHA, pdhA	 pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00162	PDHB, pdhB	 pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00627	DLAT, aceF, pdhC	 pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00169	porA	 pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00170	porB	 pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00172	porC, porG	 pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00189	vorG, porG	 2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00171	porD	 pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K03737	por, nifJ	 pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K01810	GPI, pgi	 glucose-6-phosphate isomerase [EC:5.3.1.9]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K06859	pgi1	 glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K13810	tal-pgi	 transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K15916	pgi-pmi	 glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K00036	G6PD, zwf	 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K19243	azf	 NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K01057	PGLS, pgl, devB	 6-phosphogluconolactonase [EC:3.1.1.31]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K07404	pgl	 6-phosphogluconolactonase [EC:3.1.1.31]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K00033	PGD, gnd, gntZ	 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K01783	rpe, RPE	 ribulose-phosphate 3-epimerase [EC:5.1.3.1]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K00615	E2.2.1.1, tktA, tktB	 transketolase [EC:2.2.1.1]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K00616	E2.2.1.2, talA, talB	 transaldolase [EC:2.2.1.2]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K01807	rpiA	 ribose 5-phosphate isomerase A [EC:5.3.1.6]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K01808	rpiB	 ribose 5-phosphate isomerase B [EC:5.3.1.6]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K13812	fae-hps	 bifunctional enzyme Fae/Hps [EC:4.2.1.147 4.1.2.43]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K08093	hxlA	 3-hexulose-6-phosphate synthase [EC:4.1.2.43]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K08094	hxlB	 6-phospho-3-hexuloisomerase [EC:5.3.1.27]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K13831	hps-phi	 3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K01621	xfp, xpk	 xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K01619	deoC, DERA	 deoxyribose-phosphate aldolase [EC:4.1.2.4]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K00852	rbsK, RBKS	 ribokinase [EC:2.7.1.15]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K01839	deoB	 phosphopentomutase [EC:5.4.2.7]
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K22199	ppm	 phosphopentomutase [EC:5.4.2.7]
